Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4","4","360","4.0","5","1.25","20","15","75.0","1","2","1","1","25.0","0","0","0","0","",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12","12","1,080","12.0","13","1.08","36","22","66.7","6","1","5","4","33.3","2","1","1","0","50.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36","36","3,240","36.0","24","0.67","99","76","75.8","27","7","2","20","55.6","0","0","0","0","",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","28","1993","1","1","90","1.0","1","1.00","3","2","66.7","0","0","1","0","0.0","0","0","0","0","",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","26","1994","4","4","360","4.0","2","0.50","13","11","84.6","2","1","1","2","50.0","0","0","0","0","",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","32","1989","6","6","540","6.0","9","1.50","28","19","71.4","2","2","2","0","0.0","1","1","0","0","0.0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","24","1997","29","29","2,560","28.4","48","1.69","130","82","63.8","8","5","16","5","17.2","2","1","1","0","50.0",
"Daniel Bachmann","atAUT","GK","Watford","engPremier League","27","1994","12","12","1,080","12.0","28","2.33","72","46","65.3","1","0","11","0","0.0","3","3","0","0","0.0",
"Édgar Badía","esESP","GK","Elche","esLa Liga","29","1992","24","24","2,160","24.0","35","1.46","114","78","75.4","8","5","11","5","20.8","9","7","1","1","12.5",
"Nicola Bagnolini","itITA","GK","Bologna","itSerie A","17","2004","1","0","3","0.0","0","0.00","1","1","100.0","0","0","0","1","","0","0","0","0","",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","19","2001","7","4","510","5.7","13","2.29","29","16","62.1","0","1","3","0","0.0","2","2","0","0","0.0",
"Francesco Bardi","itITA","GK","Bologna","itSerie A","29","1992","2","2","177","2.0","2","1.02","9","7","77.8","1","1","0","0","0.0","0","0","0","0","",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","31","1990","33","33","2,970","33.0","57","1.73","155","98","64.5","12","7","14","8","24.2","4","2","1","1","33.3",
"Asmir Begović","baBIH","GK","Everton","engPremier League","34","1987","3","3","270","3.0","8","2.67","18","11","61.1","1","0","2","1","33.3","1","1","0","0","0.0",
"Vid Belec","siSVN","GK","Salernitana","itSerie A","31","1990","23","21","1,938","21.5","49","2.28","135","87","65.9","3","2","16","1","4.8","5","3","1","1","25.0",
"Walter Benítez","arARG","GK","Nice","frLigue 1","28","1993","37","37","3,330","37.0","35","0.95","141","105","78.0","20","7","10","14","37.8","5","4","1","0","20.0",
"Alessandro Berardi","itITA","GK","Hellas Verona","itSerie A","30","1991","1","1","90","1.0","3","3.00","7","4","57.1","0","1","0","0","0.0","0","0","0","0","",
"Etrit Berisha","alALB","GK","Torino","itSerie A","32","1989","10","10","900","10.0","8","0.80","41","32","85.4","3","4","3","4","40.0","3","2","1","0","33.3",
"Paul Bernardoni","frFRA","GK","Angers","frLigue 1","24","1997","13","13","1,170","13.0","19","1.46","46","27","65.2","4","5","4","4","30.8","3","3","0","0","0.0",
"Paul Bernardoni","frFRA","GK","Saint-Étienne","frLigue 1","24","1997","19","19","1,710","19.0","37","1.95","93","58","65.6","5","5","9","3","15.8","5","5","0","0","0.0",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","23","1998","11","9","833","9.3","20","2.16","57","37","68.4","2","3","4","2","22.2","2","2","0","0","0.0",
"Marco Bizot","nlNED","GK","Brest","frLigue 1","30","1991","38","38","3,420","38.0","57","1.50","170","115","68.8","13","9","16","7","18.4","4","4","0","0","0.0",
"Yassine Bounou","maMAR","GK","Sevilla","esLa Liga","30","1991","31","31","2,790","31.0","24","0.77","100","75","78.0","14","13","4","13","41.9","4","2","1","1","33.3",
"Claudio Bravo","clCHI","GK","Betis","esLa Liga","38","1983","17","17","1,456","16.2","19","1.17","56","39","67.9","8","4","5","5","29.4","1","1","0","0","0.0",
"Fabian Bredlow","deGER","GK","Stuttgart","deBundesliga","26","1995","4","4","360","4.0","7","1.75","24","17","70.8","0","2","2","0","0.0","0","0","0","0","",
"Sascha Burchert","deGER","GK","Greuther Fürth","deBundesliga","31","1989","14","14","1,260","14.0","28","2.00","72","46","65.3","2","4","8","3","21.4","3","3","0","0","0.0",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","30","1990","1","1","90","1.0","1","1.00","1","0","100.0","1","0","0","0","0.0","1","1","0","0","0.0",
"Jack Butland","engENG","GK","Crystal Palace","engPremier League","28","1993","9","8","765","8.5","13","1.53","28","16","53.6","2","4","2","1","12.5","1","0","1","0","100.0",
"Marcin Bułka","plPOL","GK","Nice","frLigue 1","21","1999","1","1","90","1.0","1","1.00","5","4","80.0","0","0","1","0","0.0","0","0","0","0","",
"Willy Caballero","arARG","GK","Southampton","engPremier League","39","1981","2","2","180","2.0","5","2.50","11","6","54.5","0","1","1","0","0.0","0","0","0","0","",
"Marc-Aurèle Caillard","frFRA","GK","Metz","frLigue 1","27","1994","19","17","1,542","17.1","30","1.75","87","57","67.8","4","5","8","5","29.4","2","2","0","0","0.0",
"Dani Cárdenas","esESP","GK","Levante","esLa Liga","24","1997","24","24","2,160","24.0","46","1.92","120","74","65.0","6","6","12","5","20.8","4","4","0","0","0.0",
"Kiko Casilla","esESP","GK","Elche","esLa Liga","34","1986","14","14","1,260","14.0","17","1.21","60","43","71.7","3","4","7","3","21.4","0","0","0","0","",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","29","1992","28","28","2,520","28.0","40","1.43","118","76","68.6","11","6","11","10","35.7","6","3","2","1","40.0",
"Jasper Cillessen","nlNED","GK","Valencia","esLa Liga","32","1989","17","17","1,457","16.2","29","1.79","77","49","68.8","4","8","5","3","17.6","6","5","1","0","16.7",
"Diego Conde","esESP","GK","Getafe","esLa Liga","22","1998","1","0","6","0.1","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","34","1987","37","37","3,322","36.9","63","1.71","171","108","67.8","13","11","13","3","8.1","9","8","1","0","11.1",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","34","1987","25","25","2,250","25.0","62","2.48","133","72","57.1","3","8","14","0","0.0","5","5","0","0","0.0",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","29","1992","36","36","3,240","36.0","29","0.81","120","91","77.5","26","7","3","16","44.4","3","2","1","0","33.3",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","27","1994","35","35","3,150","35.0","63","1.80","168","104","66.1","6","10","19","2","5.7","8","6","2","0","25.0",
"Finn Dahmen","deGER","GK","Mainz 05","deBundesliga","23","1998","2","2","180","2.0","3","1.50","5","2","60.0","1","1","0","0","0.0","1","1","0","0","0.0",
"Karl Darlow","wlsWAL","GK","Newcastle Utd","engPremier League","30","1990","8","8","720","8.0","15","1.87","37","23","64.9","0","5","3","0","0.0","2","2","0","0","0.0",
"Arthur Desmas","frFRA","GK","Clermont Foot","frLigue 1","27","1994","15","15","1,304","14.5","33","2.28","66","34","54.5","3","5","7","3","20.0","3","3","0","0","0.0",
"Javier Díaz","esESP","GK","Sevilla","esLa Liga","24","1997","1","1","90","1.0","1","1.00","2","1","50.0","0","1","0","0","0.0","0","0","0","0","",
"Stole Dimitrievski","mkMKD","GK","Rayo Vallecano","esLa Liga","27","1993","31","30","2,772","30.8","37","1.20","126","88","76.2","11","8","11","9","30.0","9","7","2","0","22.2",
"Matías Dituro","arARG","GK","Celta Vigo","esLa Liga","34","1987","38","38","3,420","38.0","43","1.13","136","91","71.3","12","10","16","14","36.8","8","4","4","0","50.0",
"Ouparine Djoco","gwGNB","GK","Clermont Foot","frLigue 1","23","1998","24","23","2,116","23.5","36","1.53","99","65","65.7","6","4","13","5","21.7","2","2","0","0","0.0",
"Marko Dmitrović","rsSRB","GK","Sevilla","esLa Liga","29","1992","6","6","540","6.0","5","0.83","19","14","73.7","4","2","0","4","66.7","0","0","0","0","",
"Jaume Doménech","esESP","GK","Valencia","esLa Liga","30","1990","4","3","343","3.8","4","1.05","11","8","63.6","2","0","1","1","33.3","0","0","0","0","",
"Gianluigi Donnarumma","itITA","GK","Paris S-G","frLigue 1","22","1999","17","17","1,530","17.0","17","1.00","61","45","73.8","13","2","2","5","29.4","1","1","0","0","0.0",
"Bartłomiej Drągowski","plPOL","GK","Fiorentina","itSerie A","23","1997","7","7","556","6.2","8","1.29","26","17","73.1","3","0","4","2","28.6","2","1","1","0","50.0",
"Matthieu Dreyer","frFRA","GK","Lorient","frLigue 1","32","1989","16","16","1,440","16.0","25","1.56","57","32","57.9","5","4","7","7","43.8","1","1","0","0","0.0",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","32","1989","26","26","2,340","26.0","35","1.35","106","72","67.9","13","4","9","8","30.8","1","1","0","0","0.0",
"Ederson","brBRA","GK","Manchester City","engPremier League","27","1993","37","37","3,330","37.0","26","0.70","83","57","69.9","28","6","3","20","54.1","1","1","0","0","0.0",
"Aarón Escandell","esESP","GK","Granada","esLa Liga","25","1995","4","3","284","3.2","6","1.90","16","10","75.0","0","2","1","1","33.3","2","2","0","0","0.0",
"Michael Esser","deGER","GK","Bochum","deBundesliga","33","1987","3","3","270","3.0","7","2.33","21","14","76.2","2","0","1","0","0.0","2","2","0","0","0.0",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","36","1985","37","37","3,330","37.0","50","1.35","162","111","70.4","16","8","13","8","21.6","6","2","3","1","60.0",
"Wladimiro Falcone","itITA","GK","Sampdoria","itSerie A","26","1995","10","9","855","9.5","14","1.47","54","41","75.9","2","1","6","2","22.2","1","1","0","0","0.0",
"Wuilker Faríñez","veVEN","GK","Lens","frLigue 1","23","1998","13","11","1,105","12.3","15","1.22","45","30","68.9","7","3","1","3","27.3","1","1","0","0","0.0",
"Aitor Fernández","esESP","GK","Levante","esLa Liga","30","1991","13","13","1,166","13.0","29","2.24","81","51","65.4","1","5","7","2","15.4","2","1","1","0","50.0",
"Álvaro Fernández","esESP","GK","Brentford","engPremier League","23","1998","12","12","1,080","12.0","24","2.00","69","47","66.7","3","2","7","1","8.3","1","1","0","0","0.0",
"Vincenzo Fiorillo","itITA","GK","Salernitana","itSerie A","31","1990","1","1","90","1.0","5","5.00","8","3","37.5","0","0","1","0","0.0","0","0","0","0","",
"Mark Flekken","nlNED","GK","Freiburg","deBundesliga","28","1993","32","32","2,880","32.0","39","1.22","141","103","73.8","15","9","8","10","31.3","2","2","0","0","0.0",
"Fraser Forster","engENG","GK","Southampton","engPremier League","33","1988","19","19","1,710","19.0","35","1.84","101","68","67.3","6","5","8","3","15.8","2","2","0","0","0.0",
"Ben Foster","engENG","GK","Watford","engPremier League","38","1983","26","26","2,340","26.0","49","1.88","116","67","60.3","5","5","16","4","15.4","4","3","1","0","25.0",
"Christian Früchtl","deGER","GK","Bayern Munich","deBundesliga","21","2000","1","0","10","0.1","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Marius Funk","deGER","GK","Greuther Fürth","deBundesliga","25","1996","8","8","720","8.0","30","3.75","54","26","48.1","0","0","8","0","0.0","2","2","0","0","0.0",
"Gauthier Gallon","frFRA","GK","Troyes","frLigue 1","28","1993","31","31","2,790","31.0","45","1.45","135","92","72.6","8","8","15","8","25.8","8","8","0","0","0.0",
"Joan García","esESP","GK","Espanyol","esLa Liga","20","2001","2","1","108","1.2","3","2.50","3","0","0.0","0","0","1","0","0.0","0","0","0","0","",
"David de Gea","esESP","GK","Manchester Utd","engPremier League","30","1990","38","38","3,420","38.0","57","1.50","180","124","70.0","16","10","12","8","21.1","5","3","2","0","40.0",
"Luca Gemello","itITA","GK","Torino","itSerie A","21","2000","1","1","90","1.0","0","0.00","3","3","100.0","1","0","0","1","100.0","0","0","0","0","",
"Rafał Gikiewicz","plPOL","GK","Augsburg","deBundesliga","33","1987","34","34","3,060","34.0","56","1.65","156","102","67.3","10","8","16","9","26.5","5","5","0","0","0.0",
"Alfred Gomis","snSEN","GK","Rennes","frLigue 1","27","1993","25","25","2,250","25.0","25","1.00","67","43","68.7","14","5","6","10","40.0","4","4","0","0","0.0",
"Jens Grahl","deGER","GK","Eint Frankfurt","deBundesliga","32","1988","1","1","90","1.0","2","2.00","4","2","50.0","0","0","1","0","0.0","0","0","0","0","",
"Ivo Grbić","hrCRO","GK","Lille","frLigue 1","25","1996","21","21","1,890","21.0","28","1.33","85","58","69.4","8","7","6","2","9.5","2","2","0","0","0.0",
"Etienne Green","engENG","GK","Saint-Étienne","frLigue 1","21","2000","15","15","1,197","13.3","27","2.03","67","42","61.2","2","5","8","1","6.7","1","1","0","0","0.0",
"Dominik Greif","skSVK","GK","Mallorca","esLa Liga","24","1997","1","1","90","1.0","3","3.00","6","3","50.0","0","0","1","0","0.0","0","0","0","0","",
"Lennart Grill","deGER","GK","Leverkusen","deBundesliga","22","1999","1","1","90","1.0","2","2.00","6","5","66.7","1","0","0","0","0.0","0","0","0","0","",
"Vicente Guaita","esESP","GK","Crystal Palace","engPremier League","34","1987","30","30","2,655","29.5","33","1.12","116","83","74.1","9","11","10","11","36.7","3","3","0","0","0.0",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","31","1990","33","33","2,967","33.0","34","1.03","111","78","72.1","17","7","9","9","27.3","3","3","0","0","0.0",
"Angus Gunn","sctSCO","GK","Norwich City","engPremier League","25","1996","9","9","810","9.0","22","2.44","57","34","64.9","1","2","6","1","11.1","4","2","1","1","33.3",
"Samir Handanović","siSVN","GK","Inter","itSerie A","37","1984","37","37","3,330","37.0","30","0.81","124","95","79.0","25","9","3","15","40.5","4","4","0","0","0.0",
"Wayne Hennessey","wlsWAL","GK","Burnley","engPremier League","34","1987","2","2","180","2.0","6","3.00","13","8","53.8","0","0","2","0","0.0","0","0","0","0","",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","28","1993","36","36","3,240","36.0","48","1.33","147","97","70.1","12","10","14","12","33.3","7","4","3","0","42.9",
"Marwin Hitz","chSUI","GK","Dortmund","deBundesliga","33","1987","5","4","405","4.5","12","2.67","25","13","60.0","1","0","3","0","0.0","2","2","0","0","0.0",
"Timo Horn","deGER","GK","Köln","deBundesliga","28","1993","13","13","1,170","13.0","21","1.62","56","36","62.5","4","6","3","1","7.7","0","0","0","0","",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","31","1989","32","32","2,880","32.0","44","1.37","154","109","72.7","17","7","8","8","25.0","4","2","1","1","33.3",
"Léo Jardim","brBRA","GK","Lille","frLigue 1","26","1995","17","17","1,530","17.0","20","1.18","66","47","75.8","6","6","5","8","47.1","4","4","0","0","0.0",
"Stefanos Kapino","grGRE","GK","Arminia","deBundesliga","27","1994","1","1","90","1.0","0","0.00","4","4","100.0","1","0","0","1","100.0","0","0","0","0","",
"Eiji Kawashima","jpJPN","GK","Strasbourg","frLigue 1","38","1983","1","1","90","1.0","0","0.00","1","1","100.0","1","0","0","1","100.0","0","0","0","0","",
"Caoimhín Kelleher","ieIRL","GK","Liverpool","engPremier League","22","1998","2","2","180","2.0","2","1.00","8","6","75.0","1","1","0","1","50.0","0","0","0","0","",
"Kristoffer Klaesson","noNOR","GK","Leeds United","engPremier League","20","2000","1","0","36","0.4","0","0.00","4","4","100.0","0","0","0","0","","0","0","0","0","",
"Gregor Kobel","chSUI","GK","Dortmund","deBundesliga","23","1997","29","29","2,565","28.5","39","1.37","110","73","67.3","20","3","6","7","24.1","3","3","0","0","0.0",
"Tim Krul","nlNED","GK","Norwich City","engPremier League","33","1988","29","29","2,610","29.0","62","2.14","165","105","66.7","4","5","20","5","17.2","8","7","0","1","0.0",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","22","1999","38","38","3,420","38.0","48","1.26","155","105","71.6","15","10","13","8","21.1","7","4","3","0","42.9",
"Jean-Louis Leca","frFRA","GK","Lens","frLigue 1","35","1985","27","27","2,313","25.7","33","1.28","100","66","70.0","10","8","9","5","18.5","4","3","1","0","25.0",
"Jeremías Ledesma","arARG","GK","Cádiz","esLa Liga","28","1993","38","38","3,420","38.0","51","1.34","170","117","76.5","8","15","15","13","34.2","13","11","2","0","15.4",
"Bernd Leno","deGER","GK","Arsenal","engPremier League","29","1992","4","4","360","4.0","9","2.25","19","10","52.6","1","0","3","1","25.0","0","0","0","0","",
"Alexandre Letellier","frFRA","GK","Paris S-G","frLigue 1","30","1990","1","0","8","0.1","0","0.00","0","0","","0","0","0","1","","0","0","0","0","",
"Luca Lezzerini","itITA","GK","Venezia","itSerie A","26","1995","6","6","495","5.5","9","1.64","39","30","76.9","2","1","3","0","0.0","0","0","0","0","",
"Andreas Linde","seSWE","GK","Greuther Fürth","deBundesliga","28","1993","12","12","1,080","12.0","24","2.00","62","39","62.9","1","5","6","3","25.0","1","1","0","0","0.0",
"Hugo Lloris","frFRA","GK","Tottenham","engPremier League","34","1986","38","38","3,420","38.0","40","1.05","137","98","72.3","22","5","11","16","42.1","2","2","0","0","0.0",
"Anthony Lopes","ptPOR","GK","Lyon","frLigue 1","30","1990","34","34","2,982","33.1","45","1.36","148","105","71.6","14","11","9","8","23.5","4","3","1","0","25.0",
"Diego López","esESP","GK","Espanyol","esLa Liga","39","1981","36","36","3,177","35.3","49","1.39","157","110","70.7","10","12","14","9","25.0","4","3","0","1","0.0",
"Pau López","esESP","GK","Marseille","frLigue 1","26","1994","29","29","2,610","29.0","31","1.07","86","55","68.6","15","6","8","10","34.5","4","4","0","0","0.0",
"Jonas Lössl","dkDEN","GK","Brentford","engPremier League","32","1989","2","2","180","2.0","5","2.50","7","2","28.6","0","0","2","0","0.0","0","0","0","0","",
"Marcel Lotka","plPOL","GK","Hertha BSC","deBundesliga","20","2001","10","9","885","9.8","20","2.03","49","29","65.3","2","1","6","2","22.2","3","3","0","0","0.0",
